city1,city2,Distance,Color
Amsterdam,Bruxelles,1,B
Amsterdam,Essen,3,Y
Amsterdam,Frankfurt,2,W
Amsterdam,London,2,X
Angora,Constantinople,2,X
Angora,Erzurum,3,B
Angora,Smyrna,3,O
Athina,Brindisi,4,X
Athina,Sarajevo,4,G
Athina,Smyrna,2,X
Athina,Sofia,4,P
Barcelona,Madrid,2,Y
Barcelona,Marseille,4,X
Barcelona,Pamplona,2,X
Berlin,Danzig,4,X
Berlin,Essen,2,U
Berlin,Frankfurt,3,B
Berlin,Frankfurt,3,R
Berlin,Warszawa,4,P
Berlin,Warszawa,4,Y
Berlin,Wien,3,G
Brest,Dieppe,2,O
Brest,Pamplona,4,P
Brest,Paris,3,B
Brindisi,Palermo,3,X
Brindisi,Roma,2,W
Bruxelles,Dieppe,2,G
Bruxelles,Frankfurt,2,U
Bruxelles,Paris,2,R
Bruxelles,Paris,2,Y
Bucuresti,Budapest,4,X
Bucuresti,Constantinople,3,Y
Bucuresti,Kyiv,4,X
Bucuresti,Sevastopol,4,W
Bucuresti,Sofia,2,X
Budapest,Kyiv,6,X
Budapest,Sarajevo,3,P
Budapest,Wien,1,R
Budapest,Wien,1,W
Budapest,Zagreb,2,O
Cadiz,Lisboa,2,U
Cadiz,Madrid,3,O
Constantinople,Sevastopol,4,X
Constantinople,Smyrna,2,X
Constantinople,Sofia,3,U
Danzig,Riga,3,B
Danzig,Warszawa,2,X
Dieppe,London,2,X
Dieppe,London,2,X
Dieppe,Paris,1,P
Edinburgh,London,4,B
Edinburgh,London,4,O
Erzurum,Sevastopol,4,X
Erzurum,Sochi,3,R
Essen,Frankfurt,2,G
Essen,København,3,X
Essen,København,3,X
Frankfurt,München,2,P
Frankfurt,Paris,3,O
Frankfurt,Paris,3,W
Kharkov,Kyiv,4,X
Kharkov,Moskva,4,X
Kharkov,Rostov,2,G
Kyiv,Smolensk,3,R
Kyiv,Warszawa,4,X
Kyiv,Wilno,2,X
København,Stockholm,3,W
København,Stockholm,3,Y
Lisboa,Madrid,3,P
Madrid,Pamplona,3,B
Madrid,Pamplona,3,W
Marseille,Pamplona,4,R
Marseille,Paris,4,X
Marseille,Roma,4,X
Marseille,Zürich,2,P
Moskva,Petrograd,4,W
Moskva,Smolensk,2,O
München,Venezia,2,U
München,Wien,3,O
München,Zürich,2,Y
Palermo,Roma,4,X
Palermo,Smyrna,6,X
Pamplona,Paris,4,U
Pamplona,Paris,4,G
Paris,Zürich,3,X
Petrograd,Riga,4,X
Petrograd,Stockholm,8,X
Petrograd,Wilno,4,U
Riga,Wilno,4,G
Roma,Venezia,2,B
Rostov,Sevastopol,4,X
Rostov,Sochi,2,X
Sarajevo,Sofia,2,X
Sarajevo,Zagreb,3,R
Sevastopol,Sochi,2,X
Smolensk,Wilno,3,Y
Venezia,Zagreb,2,X
Venezia,Zürich,2,G
Warszawa,Wien,4,U
Warszawa,Wilno,3,R
Wien,Zagreb,2,X
