city1,city2,value
Brest,Petrograd,20
Lisboa,Danzig,20
Palermo,Moskva,20
København,Erzurum,21
Edinburgh,Athina,21
Cadiz,Stockholm,21
Athina,Wilno,11
Frankfurt,Smolensk,13
Berlin,Moskva,12
Amsterdam,Wilno,12
Stockholm,Wien,11
Kyiv,Petrograd,6
Zagreb,Brindisi,6
Warszawa,Smolensk,6
Zürich,Brindisi,6
Zürich,Budapest,6
Paris,Edinburgh,7
Brest,Marseille,7
London,Berlin,7
Amsterdam,Pamplona,7
Paris,Zagreb,7
Barcelona,München,8
Marseille,Essen,8
Roma,Smyrna,8
Paris,Wien,8
Brest,Venezia,8
Barcelona,Bruxelles,8
Smolensk,Rostov,8
Madrid,Zürich,8
Palermo,Constantinople,8
Berlin,Bucuresti,8
Madrid,Dieppe,8
Sarajevo,Sevastopol,8
Kyiv,Sochi,8
Bruxelles,Danzig,9
Berlin,Roma,9
Riga,Bucuresti,10
Venezia,Constantinople,10
Angora,Kharkov,10
London,Wien,10
Essen,Kyiv,10
Frankfurt,København,5
Rostov,Erzurum,5
Athina,Angora,5
Budapest,Sofia,5
Sofia,Smyrna,5
